净值日期,单位净值,日增长率
2017-06-07,1.0,0.0
2017-06-09,1.0,0.0
2017-06-16,1.001,0.0
2017-06-23,1.001,0.0
2017-06-30,1.002,0.0
2017-07-06,1.002,0.0
2017-07-07,1.003,0.0998
2017-07-10,1.006,0.2991
2017-07-11,1.001,-0.497
2017-07-12,1.015,1.3986
2017-07-13,1.012,-0.2956
2017-07-14,1.019,0.6917
2017-07-17,1.004,-1.472
2017-07-18,1.007,0.2988
2017-07-19,1.019,1.1917
2017-07-20,1.032,1.2758
2017-07-21,1.041,0.8721
2017-07-24,1.021,-1.9212
2017-07-25,1.018,-0.2938
2017-07-26,1.019,0.0982
2017-07-27,1.009,-0.9814
2017-07-28,1.036,2.6759
2017-07-31,1.055,1.834
2017-08-01,1.061,0.5687
2017-08-02,1.057,-0.377
2017-08-03,1.05,-0.6623
2017-08-04,1.016,-3.2381
2017-08-07,1.032,1.5748
2017-08-08,1.02,-1.1628
2017-08-09,1.034,1.3725
2017-08-10,1.017,-1.6441
2017-08-11,0.987,-2.9499
2017-08-14,1.036,4.9645
2017-08-15,1.045,0.8687
2017-08-16,1.034,-1.0526
2017-08-17,1.041,0.677
2017-08-18,1.018,-2.2094
2017-08-21,1.027,0.8841
2017-08-22,1.04,1.2658
2017-08-23,1.027,-1.25
2017-08-24,1.019,-0.779
2017-08-25,1.038,1.8646
2017-08-28,1.06,2.1195
2017-08-29,1.055,-0.4717
2017-08-30,1.063,0.7583
2017-08-31,1.084,1.9755
2017-09-01,1.105,1.9373
2017-09-04,1.106,0.0905
2017-09-05,1.142,3.255
2017-09-06,1.18,3.3275
2017-09-07,1.165,-1.2712
2017-09-08,1.166,0.0858
2017-09-11,1.226,5.1458
2017-09-12,1.192,-2.7732
2017-09-13,1.211,1.594
2017-09-14,1.199,-0.9909
2017-09-15,1.191,-0.6672
2017-09-18,1.209,1.5113
2017-09-19,1.203,-0.4963
2017-09-20,1.223,1.6625
2017-09-21,1.206,-1.39
2017-09-22,1.189,-1.4096
2017-09-25,1.17,-1.598
2017-09-26,1.178,0.6838
2017-09-27,1.213,2.9711
2017-09-28,1.213,0.0
2017-09-29,1.208,-0.4122
2017-10-09,1.208,0.0
2017-10-10,1.194,-1.1589
2017-10-11,1.176,-1.5075
2017-10-12,1.167,-0.7653
2017-10-13,1.177,0.8569
2017-10-16,1.176,-0.085
2017-10-17,1.166,-0.8503
2017-10-18,1.149,-1.458
2017-10-19,1.156,0.6092
2017-10-20,1.19,2.9412
2017-10-23,1.185,-0.4202
2017-10-24,1.186,0.0844
2017-10-25,1.18,-0.5059
2017-10-26,1.186,0.5085
2017-10-27,1.186,0.0
2017-10-30,1.168,-1.5177
2017-10-31,1.198,2.5685
2017-11-01,1.216,1.5025
2017-11-02,1.221,0.4112
2017-11-03,1.214,-0.5733
2017-11-06,1.214,0.0
2017-11-07,1.211,-0.2471
2017-11-08,1.222,0.9083
2017-11-09,1.216,-0.491
2017-11-10,1.221,0.4112
2017-11-13,1.217,-0.3276
2017-11-14,1.184,-2.7116
2017-11-15,1.138,-3.8851
2017-11-16,1.134,-0.3515
2017-11-17,1.112,-1.94
2017-11-20,1.142,2.6978
2017-11-21,1.143,0.0876
2017-11-22,1.144,0.0875
2017-11-23,1.121,-2.0105
2017-11-24,1.128,0.6244
2017-11-27,1.076,-4.6099
2017-11-28,1.095,1.7658
2017-11-29,1.09,-0.4566
2017-11-30,1.089,-0.0917
2017-12-01,1.095,0.551
2017-12-04,1.088,-0.6393
2017-12-05,1.068,-1.8382
2017-12-06,1.068,0.0
2017-12-07,1.048,-1.8727
2017-12-08,1.066,1.7176
2017-12-11,1.093,2.5328
2017-12-12,1.107,1.2809
2017-12-13,1.103,-0.3613
2017-12-14,1.102,-0.0907
2017-12-15,1.081,-1.9056
2017-12-18,1.064,-1.5726
2017-12-19,1.069,0.4699
2017-12-20,1.069,0.0
2017-12-21,1.083,1.3096
2017-12-22,1.087,0.3693
2017-12-25,1.078,-0.828
2017-12-26,1.079,0.0928
2017-12-27,1.087,0.7414
2017-12-28,1.087,0.0
2017-12-29,1.089,0.184
2017-12-31,1.089,0.0
2018-01-02,1.096,0.6428
2018-01-03,1.132,3.2847
2018-01-04,1.146,1.2367
2018-01-05,1.145,-0.0873
2018-01-08,1.158,1.1354
2018-01-09,1.145,-1.1226
2018-01-10,1.126,-1.6594
2018-01-11,1.138,1.0657
2018-01-12,1.123,-1.3181
2018-01-15,1.079,-3.9181
2018-01-16,1.087,0.7414
2018-01-17,1.068,-1.7479
2018-01-18,1.077,0.8427
2018-01-19,1.08,0.2786
2018-01-22,1.089,0.8333
2018-01-23,1.104,1.3774
2018-01-24,1.107,0.2717
2018-01-25,1.103,-0.3613
2018-01-26,1.104,0.0907
2018-01-29,1.092,-1.087
2018-01-30,1.061,-2.8388
2018-01-31,1.07,0.8483
2018-02-01,1.044,-2.4299
2018-02-02,1.059,1.4368
2018-02-05,1.051,-0.7554
2018-02-06,1.012,-3.7108
2018-02-07,0.974,-3.7549
2018-02-08,0.963,-1.1294
2018-02-09,0.913,-5.1921
2018-02-12,0.937,2.6287
2018-02-13,0.949,1.2807
2018-02-14,0.965,1.686
2018-02-22,0.996,3.2124
2018-02-23,1.006,1.004
2018-02-26,1.024,1.7893
2018-02-27,1.007,-1.6602
2018-02-28,1.032,2.4826
2018-03-01,1.035,0.2907
2018-03-02,1.033,-0.1932
2018-03-05,1.052,1.8393
2018-03-06,1.052,0.0
2018-03-07,1.055,0.2852
2018-03-08,1.042,-1.2322
2018-03-09,1.069,2.5912
2018-03-12,1.115,4.3031
2018-03-13,1.111,-0.3587
2018-03-14,1.108,-0.27
2018-03-15,1.116,0.722
2018-03-16,1.101,-1.3441
2018-03-19,1.107,0.545
2018-03-20,1.104,-0.271
2018-03-21,1.082,-1.9928
2018-03-22,1.084,0.1848
2018-03-23,1.009,-6.9188
2018-03-26,1.045,3.5679
2018-03-27,1.074,2.7751
2018-03-28,1.053,-1.9553
2018-03-29,1.05,-0.2849
2018-03-30,1.066,1.5238
2018-04-02,1.061,-0.469
2018-04-03,1.056,-0.4713
2018-04-04,1.042,-1.3258
2018-04-09,1.038,-0.3839
2018-04-10,1.06,2.1195
2018-04-11,1.061,0.0943
2018-04-12,1.036,-2.3563
2018-04-13,1.034,-0.1931
2018-04-16,1.019,-1.4507
2018-04-17,0.979,-3.9254
2018-04-18,1.0,2.145
2018-04-19,1.007,0.7
2018-04-20,0.989,-1.7875
2018-04-23,0.986,-0.3033
2018-04-24,1.022,3.6511
2018-04-25,1.014,-0.7828
2018-04-26,0.983,-3.0572
2018-04-27,0.989,0.6104
2018-05-02,0.992,0.3033
2018-05-03,0.997,0.504
2018-05-04,0.99,-0.7021
2018-05-07,1.034,4.4444
2018-05-08,1.043,0.8704
2018-05-09,1.044,0.0959
2018-05-10,1.053,0.8621
2018-05-11,1.088,3.3238
2018-05-14,1.1,1.1029
2018-05-15,1.116,1.4545
2018-05-16,1.102,-1.2545
2018-05-17,1.098,-0.363
2018-05-18,1.101,0.2732
2018-05-21,1.111,0.9083
2018-05-22,1.116,0.45
2018-05-23,1.094,-1.9713
2018-05-24,1.099,0.457
2018-05-25,1.063,-3.2757
